entity_id,country_name_ja,region,subregion,category,title,body,source_name,source_url
AZ,アゼルバイジャン,Asia,Western Asia,言語・文字,独立後にラテン文字へ移行した,アゼルバイジャン語は旧ソ連時代にキリル文字で書かれましたが、独立後はラテン文字を基礎とする表記へ移行しました。古い資料と現在の表示で文字が異なることがあります。,アゼルバイジャン政府・UNESCO代表部,https://unesco.mfa.gov.az/en/news/international-mother-language-day-was-celebrated-at-the-unesco-headquarters
BA,ボスニア・ヘルツェゴビナ,Europe,Southern Europe,国の仕組み,大統領に相当する人が三人いる,国家元首機関は、ボシュニャク系、クロアチア系、セルビア系の三人で構成される大統領評議会です。議長役は三人の間で交代します。,ボスニア・ヘルツェゴビナ憲法裁判所,https://www.ustavnisud.ba/uploads/documents/constitution-of-bih_1625734692.pdf
BB,バルバドス,Americas,Caribbean,政治・歴史,議会の歴史が1639年に始まる,バルバドス議会の最初の会合は1639年に開かれたとされています。当初は現在の議事堂ではなく、酒場の上階が会議場所だったと伝えられています。,バルバドス議会,https://www.barbadosparliament.com/main_page_content/show_content/2
BD,バングラデシュ,Asia,Southern Asia,季節・暮らし,伝統的には一年を六つの季節に分ける,バングラデシュの伝統的な季節区分には、夏、雨季、秋、晩秋、冬、春の六季があります。日本の四季とは異なる季節感が暮らしや文学に根付いています。,バングラデシュ総領事館,https://bcgdubai.gov.bd/bangladesh-at-a-glance/
BE,ベルギー,Europe,Western Europe,国の仕組み,連邦政府の大臣数にも言語の均衡がある,連邦政府では、首相を除き、オランダ語系とフランス語系の大臣を同数にする仕組みがあります。複数の言語共同体を国政に反映する制度です。,ベルギー政府,https://www.belgium.be/en/about_belgium/government/federale_staat
BF,ブルキナファソ,Africa,Western Africa,国名・言語,国名が二つの現地語からできている,「ブルキナ」と「ファソ」は異なる現地語に由来し、全体で「高潔な人々の国」に近い意味を持ちます。一つの国名に二つの言語が組み合わされています。,Burkina Faso Localization Guide,https://localizationafrica.com/wp-content/uploads/2022/03/Burkina-Faso-Localization-Guide-ENG.pdf
BG,ブルガリア,Europe,Eastern Europe,言語・文字,EUに三つ目の文字を加えた国,ブルガリアが2007年にEUへ加盟したことで、キリル文字はラテン文字、ギリシャ文字に続くEUの三つ目の公式文字になりました。,EU理事会,https://www.consilium.europa.eu/en/documents-publications/library/library-blog/posts/celebrating-the-cyrillic-alphabet/
BH,バーレーン,Asia,Western Asia,産業・歴史,湾岸地域で早くから石油開発が始まった,バーレーンでは1932年に石油が発見され、ペルシャ湾岸地域で早くから商業的な石油開発が始まりました。小国ながら湾岸産油国の歴史で重要な位置を占めます。,バーレーン情報省,https://www.mia.gov.bh/kingdom-of-bahrain/location-and-natural-resources/?lang=en
BI,ブルンジ,Africa,Eastern Africa,首都・行政,政治首都と経済首都が別にある,ギテガが政治首都、ブジュンブラが経済首都と定められています。政府機能の中心と、商業・経済活動の中心が異なる都市に分かれています。,ブルンジ大統領府,https://presidence.gov.bi/2019/02/13/loi-n104-du-04-fevrier-2019-portant-fixation-de-la-capitale-politique-et-de-la-capitale-economique-du-burundi/
BJ,ベナン,Africa,Western Africa,首都・行政,首都と政府所在地が別の都市,正式な首都はポルトノボですが、大統領府や多くの中央政府機関は最大都市コトヌーに置かれています。首都と実際の行政・経済の中心が分かれています。,アフリカ人権委員会,https://achpr.au.int/en/member-states/benin
BN,ブルネイ,Asia,South-eastern Asia,休日・仕事,政府機関は金曜と日曜が休み,ブルネイの政府機関は一般に金曜日と日曜日が休みで、土曜日は開庁日です。日本の土日休みとは曜日の組み合わせが異なります。,ブルネイ情報局,https://www.information.gov.bn/SitePages/Amenities.aspx
BO,ボリビア,Americas,South America,首都・行政,憲法上の首都と政府所在地が別の都市,憲法上の首都はスークレですが、大統領府や国会など中央政府機能の多くはラパスに置かれています。ラパスは政府所在地と呼ばれます。,ボリビア下院,https://diputados.gob.bo/wp-content/uploads/2025/11/constitucion_politica.pdf
BR,ブラジル,Americas,South America,選挙・制度,16歳から投票でき、18歳からは原則義務,16歳と17歳は希望すれば投票でき、18歳から70歳未満の読み書きができる国民には原則として投票義務があります。,ブラジル高等選挙裁判所,https://www.tse.jus.br/comunicacao/noticias/2026/Marco/eleitor-em-dia-quem-completa-18-anos-entre-o-1o-e-o-2o-turno-das-eleicoes-deve-votar-1
BS,バハマ,Americas,Caribbean,通貨・お金,自国通貨と米ドルが1対1で使われる,バハマ・ドルは米ドルと1対1の価値に固定されています。国内では米ドルもバハマ・ドルと並んで流通します。,バハマ中央銀行,https://www.centralbankbahamas.com/exchange-rate
BT,ブータン,Asia,Southern Asia,国の考え方,政府の経済計画にも「国民総幸福」が登場する,国民総幸福は観光用の言葉だけではなく、政府の長期経済計画でも政策理念として位置付けられています。経済成長だけでなく社会や環境も重視する考え方です。,ブータン首相府,https://pmo.gov.bt/bhutan-21st-century-economic-roadmap/
BW,ボツワナ,Africa,Southern Africa,選挙・制度,大統領だけを直接選ぶ投票はない,総選挙では国会議員候補が支持する大統領候補を示し、当選議員の過半数に支持された候補が大統領になります。大統領候補だけを別の投票用紙で直接選ぶ方式ではありません。,ボツワナ憲法,https://www.constituteproject.org/constitution/Botswana_2005
BY,ベラルーシ,Europe,Eastern Europe,通貨・お金,通貨からゼロを四つ外した,2016年の通貨単位変更で、旧1万ベラルーシ・ルーブルが新1ルーブルになりました。同時に通常流通用の硬貨も導入されました。,ベラルーシ国立銀行,https://www.nbrb.by/engl/publications/reportifrss/report-ifrss-2017e.pdf
BZ,ベリーズ,Americas,Central America,言語・文字,中米で公用語が英語の国,スペイン語圏が多い中米にありながら、公用語は英語です。日常ではクレオール語、スペイン語、ガリフナ語、マヤ諸語なども使われます。,ベリーズ外務省,https://losangelesconsulate.mfa.gov.bz/about-belize/
CA,カナダ,Americas,Northern America,暦・時間,30分ずれた標準時がある,ニューファンドランド標準時はUTC−3時間30分です。国内移動で時計が1時間ではなく30分だけ変わる地域があります。,カナダ国立研究評議会,https://nrc.canada.ca/en/certifications-evaluations-standards/canadas-official-time/time-zones-daylight-saving-time
CD,コンゴ民主共和国,Africa,Middle Africa,言語・文字,フランス語のほかに四つの国語がある,公用語はフランス語ですが、キコンゴ語、リンガラ語、スワヒリ語、チルバ語の四つが国語として定められています。地域によって日常言語が大きく異なります。,コンゴ民主共和国憲法資料,https://www.constituteproject.org/constitution/Democratic_Republic_of_the_Congo_2011
CF,中央アフリカ共和国,Africa,Middle Africa,言語・文字,サンゴ語が国の公用語,フランス語だけでなく、アフリカの地域言語であるサンゴ語も公用語です。異なる母語を持つ人々の間で共通語として広く使われています。,中央アフリカ共和国憲法,https://www.constituteproject.org/constitution/Central_African_Republic_2010
CG,コンゴ共和国,Africa,Middle Africa,首都・地理,川の向こう側に別の国の首都がある,首都ブラザビルとコンゴ民主共和国の首都キンシャサは、コンゴ川を挟んで向かい合っています。首都から川の対岸を見ると、そこは別の国の首都です。,コンゴ共和国大使館,https://www.congoembassy.se/visit-congo
CH,スイス,Europe,Western Europe,首都・行政,法律上の正式な首都がない,ベルンは連邦政府と議会が置かれる「連邦都市」で、事実上の首都として機能します。ただし法律上、正式な首都と定められた都市ではありません。,スイス連邦外務省,https://www.aboutswitzerland.eda.admin.ch/en/political-system
CI,コートジボワール,Africa,Western Africa,首都・行政,正式な首都と政府・経済の中心が異なる,正式な首都はヤムスクロですが、政府機関や外国大使館の多くはアビジャンに置かれています。アビジャンは国最大の都市で経済の中心です。,コートジボワール財務省,https://tresor.gouv.ci/tres/wp-content/uploads/2022/01/RCI-Investor-Presentation-_-Site-web.pdf
CL,チリ,Americas,South America,暦・時間,ラパ・ヌイでは本土より時計が2時間遅い,イースター島として知られるラパ・ヌイは、チリ本土の大部分とは異なる時間帯を使います。同じ国の中で時計が2時間違います。,チリ海軍,https://www.armada.cl/noticias-navales/contribucion-al-desarrollo-nacional-y-a-la-accion-del-estado/cambio-de-hora-en-chile-continental-e-insular-occidental
CM,カメルーン,Africa,Middle Africa,言語・文字,法律や政府文書に英語とフランス語が並ぶ,英語とフランス語が同等の公用語とされています。法律文書や官報にも両言語が使われ、英語圏とフランス語圏の双方へ制度を伝えます。,カメルーン大統領府,https://www.prc.cm/files/5c/54/51/2557cb3d83672494dd9fc0c0b87b9e14.pdf
CN,中国,Asia,Eastern Asia,暦・時間,広い国土でも標準時は一つ,中国は東西に広い国ですが、全国で北京時間（UTC＋8）を標準時として使用します。そのため西部では、時計上の日の出や日没がかなり遅くなる地域があります。,北京市政府,https://english.beijing.gov.cn/beijinginfo/facts/202006/t20200601_1912281.html
CO,コロンビア,Americas,South America,首都・行政,ボゴタは県都だが、その県には属していない,ボゴタはクンディナマルカ県の県都でもありますが、ボゴタ自体は同県の一部ではありません。独立した首都特別区として組織されています。,ボゴタ市政府,https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=1507
CR,コスタリカ,Americas,Central America,国の仕組み,憲法が常設軍を禁止している,コスタリカ憲法は、軍隊を常設の組織として置くことを禁止しています。治安や公共秩序の維持は警察組織が担当します。,コスタリカ法務情報システム,https://www.pgrweb.go.cr/scij/busqueda/normativa/normas/nrm_texto_completo.aspx?nValor1=1&nValor2=871
CU,キューバ,Americas,Caribbean,国土・行政,15州とは別に「特別自治体」がある,イスラ・デ・ラ・フベントゥは、どの州にも属さない特別自治体です。島そのものが州に近い特別な行政単位として扱われています。,キューバ国家統計情報局,https://www.onei.gob.cu/sites/default/files/publicaciones/2024-10/01-territorio.pdf
CV,カーボベルデ,Africa,Western Africa,通貨・お金,自国通貨をユーロに固定している,カーボベルデ・エスクードは、1ユーロ＝110.265エスクードの固定比率でユーロに結び付けられています。,カーボベルデ中央銀行,https://www.bcv.cv/pt/O%20Banco/Sala%20de%20Imprensa/Arquivo/Paginas/ConferenciaAcordoCambial.aspx
CY,キプロス,Asia,Western Asia,交通・制度,地中海の国だが車は左側通行,キプロスでは自動車は道路の左側を走り、右ハンドル車が一般的です。ヨーロッパ大陸の多くの国とは反対です。,キプロス観光局,https://www.visitcyprus.com/useful-info/health-safety/
CZ,チェコ,Europe,Eastern Europe,住所・行政,一つの建物に二つの番号が付くことがある,チェコの住所では、建物そのものを示す番号と、通りに沿った位置を示す番号が併記されることがあります。「12/34」のように二つの番号が並びます。,チェコ内務省,https://ipc.gov.cz/en/forms-and-documents/documents/proof-of-accommodation/
DE,ドイツ,Europe,Western Europe,教育・制度,州によって学校制度が異なる,教育政策は主に16の州が担当します。そのため学校の種類、休暇、進路の分かれ方などが州によって異なります。,ドイツ連邦政府,https://www.make-it-in-germany.com/en/living-in-germany/family-life/school-system
DJ,ジブチ,Africa,Eastern Africa,通貨・お金,ドルとの固定比率が1973年から変わっていない,ジブチ・フランは1米ドル＝177.721ジブチ・フランの固定比率で結び付いています。この比率は1973年から維持されています。,ジブチ中央銀行,https://banque-centrale.dj/historique-du-franc-djibouti/
DK,デンマーク,Europe,Northern Europe,仕事・制度,法律で決めた全国一律の最低賃金がない,デンマークには法定最低賃金がありません。多くの業種では、労働組合と使用者団体が結ぶ労働協約によって賃金や労働条件が決まります。,Work in Denmark,https://www.workindenmark.dk/labour-rights
DM,ドミニカ国,Americas,Caribbean,国土・行政,先住民地域に独自の評議会選挙がある,カリナゴ・テリトリーには法律に基づくカリナゴ評議会があり、地域住民が代表を選ぶ選挙も国政選挙とは別に行われます。,ドミニカ国政府印刷局,https://printery.dominica.gov.dm/Uploads/Preview72ad35e9-41ef-4c6e-9081-07fd39325c41.pdf
DO,ドミニカ共和国,Americas,Caribbean,国旗・制度,国旗の中央に開いた聖書がある,国旗中央の国章には開いた聖書が描かれ、開かれている箇所もヨハネによる福音書8章32節と定められています。,ドミニカ共和国大統領府,https://www.presidencia.gob.do/acerca-de-rd/simbolos-patrios
DZ,アルジェリア,Africa,Northern Africa,暦・休日,アマジグの新年は1月12日の祝日,アマジグ新年「イェンナイエル」が1月12日の国民休日です。西暦の元日やイスラム暦の新年とは別の新年が祝日になっています。,アルジェリア外務省,https://embwashington.mfa.gov.dz/en/contact-us/holiday-closures-office-hours
EC,エクアドル,Americas,South America,通貨・お金,紙幣は米ドル、硬貨には自国の人物が描かれる,米ドルが法定通貨ですが、米国硬貨と同じ価値・大きさを持つエクアドル独自のセンタボ硬貨も発行されています。,エクアドル中央銀行,https://www.bce.fin.ec/economiatricolor/publicaciones/editoriales/programa-de-acunacion-de-moneda-fraccionaria-nacional-2023-2025/
EE,エストニア,Europe,Northern Europe,選挙・デジタル,国政選挙をインターネットで投票できる,エストニアでは法的に有効なインターネット投票が行われています。本人確認をして、自宅などから投票できます。,エストニア選挙管理機関,https://www.valimised.ee/en/internet-voting/more-about-i-voting/introduction-i-voting
EG,エジプト,Africa,Northern Africa,暦・時間,コプト暦にも短い第13月がある,コプト暦は30日間の月が12か月あり、その後に5日間、うるう年には6日間の短い第13月が続きます。教会暦や農業の季節感に残っています。,コプト正教会,https://copticorthodox.church/en/2025/03/21/editorial-article-by-h-h-pope-tawadros-ii-in-kiraza-magazine-the-coptic-calendar-1/
ER,エリトリア,Africa,Eastern Africa,言語・文字,国全体で一つの公用語を定めていない,政府や商取引ではティグリニャ語、アラビア語、英語が多く使われますが、国全体で唯一の公用語は定められていません。,エリトリア政府情報省,https://shabait.com/2009/10/01/eritrea-at-a-glance/
ES,スペイン,Europe,Southern Europe,国土・行政,北アフリカにも二つの自治都市がある,セウタとメリリャは北アフリカにあるスペインの自治都市です。ヨーロッパ側の国土とは海を隔てていますが、スペイン領です。,スペイン政府,https://www.lamoncloa.gob.es/lang/en/espana/elestado/Documents/Spain_Today_2014.pdf
ET,エチオピア,Africa,Eastern Africa,暦・時間,1年が13か月ある,エチオピア暦は30日間の月が12か月あり、その後に5日間、うるう年には6日間の短い第13月が続きます。西暦とは年数も異なります。,エチオピア大使館,https://ethiopianembassy.org/ethiopian-time/
FI,フィンランド,Europe,Northern Europe,暮らし・制度,他人の土地でも森を歩き、ベリーを採れる,自然享受権により、一定の範囲で他人の土地の森や野原を歩き、野生のベリーやキノコを採れます。ただし住宅の近くへ入り込んだり土地を傷つけたりしてはいけません。,フィンランド環境省,https://ym.fi/en/-/194055633/everyman-s-right-working-well
FJ,フィジー,Oceania,Melanesia,教育・言語,小学校で二つの民族言語を学ぶ,憲法は、現代イタウケイ語とフィジー・ヒンディー語をすべての小学校で教えるよう定めています。児童の民族にかかわらず二言語を教育へ組み込みます。,フィジー議会,https://www.parliament.gov.fj/wp-content/uploads/2017/02/Decree-24-Constitution-of-the-Republic-of-Fiji-Promulgation-Decree.pdf
FM,ミクロネシア連邦,Oceania,Micronesia,国の仕組み,四つの州がそれぞれ憲法を持つ,ヤップ、チューク、ポンペイ、コスラエの四州があり、各州が民主的な州憲法を持ちます。国、州、地方の三段階で政府が構成されています。,ミクロネシア連邦法務情報,https://www.fsmlaw.org/fsm/constitution/constitution.htm
FR,フランス,Europe,Western Europe,暦・時間,海外領土まで含めると多数の時刻がある,フランス本土は一つの時間帯ですが、海外県・海外領土まで含めると世界各地の多数の標準時を持ちます。同じ国の領域が日付変更線の両側近くまで広がります。,フランス政府・Vie publique,https://www.vie-publique.fr/questions-reponses/271194-heure-dete-5-questions-sur-le-changement-dheure
GA,ガボン,Africa,Middle Africa,自然・制度,一度に13の国立公園を設けた,ガボンは2002年、国内各地に13の国立公園を設けました。国土のおよそ1割に相当する大規模な保護地域網を一度につくった点が特徴です。,ガボン生物多様性情報,https://ga.chm-cbd.net/en/protected-areas
GB,イギリス,Europe,Northern Europe,国の仕組み,憲法が一冊の文書になっていない,英国には「憲法」という一つの成文法典がありません。法律、慣例、裁判所の判断、条約などを合わせたものが憲法制度を形づくっています。,英国議会,https://www.parliament.uk/about/how/role/sovereignty/
GD,グレナダ,Americas,Caribbean,国土・行政,国名は一島だが、実際には三島国家,中心のグレナダ島だけでなく、カリアク島とプティット・マルティニーク島を含む三島国家として行政が行われています。,グレナダ政府資料,https://climateresilience.gov.gd/wp-content/uploads/2025/04/GIZ_Grenada_GCREWS_Gender-Assessment.pdf
GE,ジョージア,Asia,Western Asia,言語・文字,三種類のジョージア文字が受け継がれている,ムルグロヴァニ、ヌスフリ、ムヘドルリという三つの文字体系があります。用途や時代は異なりますが、三つの文字文化が現在まで受け継がれています。,UNESCO無形文化遺産,https://ich.unesco.org/en/RL/living-culture-of-three-writing-systems-of-the-georgian-alphabet-01205
GH,ガーナ,Africa,Western Africa,名前・暮らし,生まれた曜日が名前になる文化がある,アカン系社会では、生まれた曜日に基づく名前が広く使われます。例えば金曜日生まれの男性名「コフィ」などが知られています。,Prairie View A&M University Library,https://pvamu.libguides.com/c.php?g=1434869&p=10652498
GM,ガンビア,Africa,Western Africa,国土・地理,国土が一本の川に沿って細長く延びる,国土はガンビア川の両岸に沿って東西へ細長く延びます。大西洋岸を除くほぼ全方向をセネガルに囲まれています。,ガンビア政府,https://meccnar.gov.gm/sites/default/files/2021-04/SPCR%20Report%20Vol%20I%20Final.pdf
GN,ギニア,Africa,Western Africa,自然・地理,西アフリカの大河が生まれる高原がある,フータ・ジャロン高地は、セネガル川、ガンビア川、ニジェール川などの水源地です。周辺各国を支える複数の大河が一つの国から始まります。,世界銀行,https://documents.worldbank.org/pt/publication/documents-reports/documentdetail/399711520435836338
GQ,赤道ギニア,Africa,Middle Africa,言語・文字,公用語がスペイン語・フランス語・ポルトガル語,三つの公用語を持ち、中でもスペイン語が行政や教育で広く使われます。アフリカ大陸では珍しいスペイン語圏の国です。,アフリカ連合,https://au.int/sites/default/files/documents/45034-doc-INFORMATION_GUIDE_AU_MID_YEAR_MEETINGS._ENGLISH.pdf
GR,ギリシャ,Europe,Southern Europe,選挙・制度,投票は権利であると同時に義務,ギリシャ憲法には、選挙で投票する権利の行使は義務であると明記されています。投票の位置付けが日本とは異なります。,ギリシャ議会,https://www.hellenicparliament.gr/userfiles/f3c70a23-7696-49db-9148-f24dce6a27c8/001-156%20aggliko.pdf
GT,グアテマラ,Americas,Central America,言語・文字,22のマヤ系言語がある,スペイン語に加え、22のマヤ系言語、ガリフナ語、シンカ語が使われています。マヤ系言語だけでも一つではなく、多数の異なる言語に分かれます。,グアテマラ・マヤ言語アカデミー,https://almg.org.gt/idiomas_maya/
GW,ギニアビサウ,Africa,Western Africa,国名・首都,首都名を国名に加えて区別した,独立時、隣国ギニアと区別するため首都ビサウの名前を加え、「ギニアビサウ」としました。国名の後半がそのまま首都名です。,TRT Afrika,https://www.trtafrika.com/english/article/17286534
GY,ガイアナ,Americas,South America,言語・文字,南米で唯一、英語を公用語とする国,南アメリカ大陸にありますが、公用語は英語です。日常会話では英語を基礎にしたガイアナ・クレオール語も広く使われます。,ガイアナ高等弁務官事務所,https://londonhc.mission.gov.gy/about-guyana
HK,香港（中国）,Asia,Eastern Asia,住所・郵便,一般的な郵便番号制度がない,香港には一般的な郵便番号制度がありません。住所を正確に書くことで配達されるため、海外サイトで郵便番号が必須のときに困ることがあります。,香港立法会,https://www.legco.gov.hk/yr14-15/english/panels/edev/papers/edev20150727cb4-1348-3-e.pdf
HN,ホンジュラス,Americas,Central America,首都・行政,二つの都市が共同で首都を構成する,テグシガルパとコマヤグエラの二都市が、共同でホンジュラスの首都を構成します。二つを合わせた行政区域が中央地区です。,米州機構・ホンジュラス憲法,https://www.oas.org/ext/Portals/33/adam/Content/RsU8CsGIXU29uci6sllzCw/Text/ConstituciondelaRepublica%28actualizadanoviembre2021%29.pdf
HR,クロアチア,Europe,Southern Europe,言語・文字,二文字で書いてもアルファベットでは一文字,クロアチア語では dž、lj、nj がそれぞれ一つの文字として扱われます。アルファベット順でも独立した文字です。,クロアチア言語学研究所,https://struna.ihjj.hr/en/naziv/gajica/53304/
HT,ハイチ,Americas,Caribbean,言語・文字,憲法が「共通語」と「公用語」を分けて書く,憲法はクレオール語をすべてのハイチ人を結ぶ共通の言語と表現し、そのうえでクレオール語とフランス語を公用語と定めます。,ハイチ憲法,https://www.constituteproject.org/constitution/Haiti_2012
HU,ハンガリー,Europe,Eastern Europe,名前・言語,名前は日本と同じく「姓・名」の順,ハンガリー語では通常、家族名を先に、個人名を後に書きます。欧州の国ですが姓名の並び方は日本と同じです。,Study in Hungary,https://studyinhungary.hu/blog/hungarian-101-why-this-language-is-the-coolest-mystery-in-europe
ID,インドネシア,Asia,South-eastern Asia,暦・休日,バリ島では「静寂の日」に空港も止まる,バリ島の新年ニュピでは外出や活動を控えて静かに過ごします。国際空港も通常便を24時間停止する年があり、インドネシア全土ではなくバリ島特有の運用です。,ANTARA News,https://en.antaranews.com/news/408234/bali-airport-announces-24-hour-operational-suspension-during-nyepi
IE,アイルランド,Europe,Northern Europe,言語・文字,憲法上はアイルランド語が第一公用語,日常では英語が広く使われますが、憲法上はアイルランド語が第一公用語、英語が第二公用語です。政府機関名や道路標識では両言語が見られます。,アイルランド政府,https://www.gov.ie/en/department-of-culture-communications-and-sport/press-releases/official-languages-bill-amendment-2019-before-the-d%C3%A1il/
IL,イスラエル,Asia,Western Asia,休日・時間,休息日は金曜夕方から始まる,ユダヤ教の安息日シャバットは一般に金曜日の日没から土曜日の日没までです。この時間帯は商店や公共交通の営業・運行に影響します。,テルアビブ市観光案内,https://visit.tel-aviv.gov.il/info/shabbat
IN,インド,Asia,Southern Asia,言語・文字,憲法の言語一覧に22言語が載る,憲法の第8附表には、ヒンディー語、ベンガル語、タミル語、ウルドゥー語など22言語が掲げられています。地域や州で使われる言語が異なります。,インド内務省公用語局,https://rajbhasha.gov.in/en/languages-included-eighth-schedule-indian-constitution
IQ,イラク,Asia,Western Asia,言語・制度,国レベルの公用語が二つある,アラビア語とクルド語が国の公用語です。さらに住民構成によって、トルクメン語やシリア語などを地方の公用語にできる仕組みがあります。,イラク憲法,https://www.constituteproject.org/constitution/Iraq_2005
IR,イラン,Asia,Southern Asia,暦・時間,西暦2026年が太陽暦1405年になる,公的な予定表では太陽ヒジュラ暦が使われます。太陽ヒジュラ暦1405年は、西暦2026年3月21日から2027年3月20日に相当します。,イラン外務省,https://brunei.mfa.gov.ir/en/newsview/785377/official-holidays-of-embassy-of-islamic-republic-of-iran-bandar-seri-begawan-in-1405-solar-hijri-march-21-2026-march-20-2027
IS,アイスランド,Europe,Northern Europe,名前・暮らし,家族でも同じ姓になるとは限らない,父親または母親の名前をもとに父称・母称を作る方法が広く使われます。夫婦や親子でも末尾の名前が異なることがあります。,アイスランド政府,https://www.government.is/ministries/diplomatic-missions/washington-d-c-united-states-of-america/education-and-culture/
IT,イタリア,Europe,Southern Europe,国土・地理,国境線の内側に別の国が二つある,イタリア半島の中には、バチカン市国とサンマリノ共和国という二つの独立国があります。どちらもイタリア領に囲まれています。,欧州委員会,https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=COM%3A2012%3A0680%3AREV1%3AEN%3AHTML
JM,ジャマイカ,Americas,Caribbean,国土・行政,二つの行政区を一つの自治体が管理する,キングストンとセント・アンドリューは別々の行政区ですが、地方行政では一つの自治体がまとめて管理します。,ジャマイカ地方自治省,https://www.localgovjamaica.gov.jm/local_govt_entity/kingston-st-andrew-municipal-corporation-ksamc/
JO,ヨルダン,Asia,Western Asia,自然・地理,海面より400メートル以上低い場所がある,死海周辺は海抜約マイナス400メートルに位置し、地表で最も低い場所の一つです。「海」と呼ばれますが外洋へつながらない塩湖です。,ヨルダン観光局,https://international.visitjordan.com/wheretogo/the-dead-sea/
JP,日本,Asia,Eastern Asia,暦・制度,西暦と元号、二つの年の数え方が現役,西暦と「令和」などの元号が併用されています。行政書類や証明書では元号表記も多く、西暦との対応を確認する場面があります。,首相官邸,https://japan.kantei.go.jp/98_abe/statement/201904/_00001.html
KE,ケニア,Africa,Eastern Africa,通貨・暮らし,携帯電話が財布のように使われる,モバイルマネーが個人間送金だけでなく、公共料金、学校、店舗、レストランなどの支払いに広く使われます。携帯電話を中心にお金を動かす仕組みです。,ケニア中央銀行,https://www.centralbank.go.ke/uploads/press_releases/1178640578_Press%20Release%20-%20Full%20Interoperability%20of%20Mobile%20Money%20Operators%20Becomes%20Effective.pdf
KG,キルギス,Asia,Central Asia,休日・暮らし,3月5日は「白い帽子の日」,男性用の伝統的な白いフェルト帽アク・カルパクをたたえる日です。山を思わせる形を持ち、民族文化を象徴する衣服の一つです。,キルギス投資庁,https://invest.gov.kg/en/news/20480
KH,カンボジア,Asia,South-eastern Asia,通貨・お金,リエルと米ドルが同時に流通する,公式通貨はリエルですが、米ドルも広く流通します。支払いと釣り銭が異なる通貨になることもあります。,カンボジア国立銀行,https://www.nbc.gov.kh/download_files/booklet/Riel-Booklet-English.pdf
